,Date,Ethereum[USD],Bitcoin[USD]
0,2021-01-01 00:00:00,740.0,29162.7
1,2021-01-01 03:00:00,747.63,29451.5
2,2021-01-01 06:00:00,742.58,29204.2
3,2021-01-01 09:00:00,738.7,29140.9
4,2021-01-01 12:00:00,737.62,29283.6
5,2021-01-01 15:00:00,740.0,29549.7
6,2021-01-01 18:00:00,737.24,29387.0
7,2021-01-01 21:00:00,726.01,29112.5
8,2021-01-02 00:00:00,730.0,29341.1
9,2021-01-02 03:00:00,730.56,29444.0
10,2021-01-02 06:00:00,733.47,29400.0
11,2021-01-02 09:00:00,739.99,29828.9
12,2021-01-02 12:00:00,729.89,29728.5
13,2021-01-02 15:00:00,771.79,31585.1
14,2021-01-02 18:00:00,784.1,32584.2
15,2021-01-02 21:00:00,779.69,33141.7
16,2021-01-03 00:00:00,772.29,32155.0
17,2021-01-03 03:00:00,777.82,32651.3
18,2021-01-03 06:00:00,779.7,33229.6
19,2021-01-03 09:00:00,801.67,34490.1
20,2021-01-03 12:00:00,824.32,33966.7
21,2021-01-03 15:00:00,873.02,33904.4
22,2021-01-03 18:00:00,936.52,32701.5
23,2021-01-03 21:00:00,919.33,32668.6
24,2021-01-04 00:00:00,989.47,33120.4
25,2021-01-04 03:00:00,967.64,33142.5
26,2021-01-04 06:00:00,1025.69,33320.0
27,2021-01-04 09:00:00,1049.32,32153.5
28,2021-01-04 12:00:00,959.72,30238.0
29,2021-01-04 15:00:00,1010.7,31466.0
30,2021-01-04 18:00:00,1009.0,31391.8
31,2021-01-04 21:00:00,1042.0,31700.0
32,2021-01-05 00:00:00,1010.78,31360.0
33,2021-01-05 03:00:00,1112.68,32829.5
34,2021-01-05 06:00:00,1004.01,30888.4
35,2021-01-05 09:00:00,1009.24,30817.3
36,2021-01-05 12:00:00,1028.8,31378.1
37,2021-01-05 15:00:00,1026.14,31539.9
38,2021-01-05 18:00:00,1068.79,32532.4
39,2021-01-05 21:00:00,1098.39,33800.1
40,2021-01-06 00:00:00,1111.0,34335.6
41,2021-01-06 03:00:00,1075.99,33838.9
42,2021-01-06 06:00:00,1122.8,35514.9
43,2021-01-06 09:00:00,1109.99,34781.0
44,2021-01-06 12:00:00,1114.71,34545.7
45,2021-01-06 15:00:00,1137.0,34465.3
46,2021-01-06 18:00:00,1172.0,34713.7
47,2021-01-06 21:00:00,1159.5,34900.0
48,2021-01-07 00:00:00,1180.97,36075.7
49,2021-01-07 03:00:00,1203.16,37000.0
50,2021-01-07 06:00:00,1218.22,37666.0
51,2021-01-07 09:00:00,1187.78,37000.0
52,2021-01-07 12:00:00,1182.67,37060.5
53,2021-01-07 15:00:00,1219.84,38161.2
54,2021-01-07 18:00:00,1265.34,39159.9
55,2021-01-07 21:00:00,1239.69,38903.9
56,2021-01-08 00:00:00,1240.0,39599.8
57,2021-01-08 03:00:00,1181.2,38628.4
58,2021-01-08 06:00:00,1165.0,38634.4
59,2021-01-08 09:00:00,1204.0,38870.8
60,2021-01-08 12:00:00,1250.42,40723.3
61,2021-01-08 15:00:00,1249.3,41472.4
62,2021-01-08 18:00:00,1228.29,41325.5
63,2021-01-08 21:00:00,1184.88,40450.5
64,2021-01-09 00:00:00,1214.0,40720.8
65,2021-01-09 03:00:00,1189.57,40249.9
66,2021-01-09 06:00:00,1219.86,40200.0
67,2021-01-09 09:00:00,1190.81,39670.5
68,2021-01-09 12:00:00,1218.56,40388.0
69,2021-01-09 15:00:00,1225.1,41175.3
70,2021-01-09 18:00:00,1198.1,40049.0
71,2021-01-09 21:00:00,1232.75,40760.9
72,2021-01-10 00:00:00,1294.57,40275.0
73,2021-01-10 03:00:00,1322.19,41307.7
74,2021-01-10 06:00:00,1325.93,40427.4
75,2021-01-10 09:00:00,1347.0,41055.2
76,2021-01-10 12:00:00,1319.0,40453.5
77,2021-01-10 15:00:00,1309.12,39844.6
78,2021-01-10 18:00:00,1299.6,39293.0
79,2021-01-10 21:00:00,1257.03,37464.1
80,2021-01-11 00:00:00,1273.61,38430.2
81,2021-01-11 03:00:00,1205.97,37299.9
82,2021-01-11 06:00:00,1111.0,35526.2
83,2021-01-11 09:00:00,1065.96,34304.0
84,2021-01-11 12:00:00,1110.78,35375.5
85,2021-01-11 15:00:00,1024.81,32973.0
86,2021-01-11 18:00:00,956.41,31619.4
87,2021-01-11 21:00:00,982.27,32244.0
88,2021-01-12 00:00:00,1056.08,34442.9
89,2021-01-12 03:00:00,1055.0,34272.5
90,2021-01-12 06:00:00,1096.16,35382.1
91,2021-01-12 09:00:00,1139.92,36539.9
92,2021-01-12 12:00:00,1088.0,35120.4
93,2021-01-12 15:00:00,1026.97,33270.5
94,2021-01-12 18:00:00,1100.0,34989.9
95,2021-01-12 21:00:00,1077.61,34600.0
96,2021-01-13 00:00:00,1044.63,33690.1
97,2021-01-13 03:00:00,1030.57,33032.4
98,2021-01-13 06:00:00,1022.31,33190.2
99,2021-01-13 09:00:00,1072.88,34983.1
100,2021-01-13 12:00:00,1080.64,34907.4
101,2021-01-13 15:00:00,1068.52,34600.0
102,2021-01-13 18:00:00,1069.0,34693.2
103,2021-01-13 21:00:00,1104.02,36120.6
104,2021-01-14 00:00:00,1120.0,37199.9
105,2021-01-14 03:00:00,1117.0,37460.4
106,2021-01-14 06:00:00,1108.44,37488.3
107,2021-01-14 09:00:00,1150.47,38360.9
108,2021-01-14 12:00:00,1168.16,38537.1
109,2021-01-14 15:00:00,1196.41,39050.9
110,2021-01-14 18:00:00,1225.97,39290.0
111,2021-01-14 21:00:00,1230.0,39882.8
112,2021-01-15 00:00:00,1198.6,38964.7
113,2021-01-15 03:00:00,1230.1,39189.3
114,2021-01-15 06:00:00,1208.12,38500.0
115,2021-01-15 09:00:00,1235.0,38435.0
116,2021-01-15 12:00:00,1229.89,38489.6
117,2021-01-15 15:00:00,1220.39,37666.7
118,2021-01-15 18:00:00,1161.52,36200.1
119,2021-01-15 21:00:00,1132.71,35150.6
120,2021-01-16 00:00:00,1163.78,36645.5
121,2021-01-16 03:00:00,1178.2,37077.4
122,2021-01-16 06:00:00,1180.1,36594.4
123,2021-01-16 09:00:00,1185.0,36620.6
124,2021-01-16 12:00:00,1212.25,37439.8
125,2021-01-16 15:00:00,1232.49,37222.6
126,2021-01-16 18:00:00,1262.05,37150.0
