,threshold,volume_invest,return,sharpe-ratio
0,0.04,50000,-0.136,-0.38
1,0.04,100000,-0.136,-0.38
2,0.04,250000,-0.136,-0.38
3,0.04,500000,-0.136,-0.38
4,0.04,750000,-0.136,-0.38
5,0.04,1000000,-0.136,-0.38
6,0.04,1500000,-0.136,-0.38
7,0.04,2500000,-0.136,-0.38
8,0.04,5000000,-0.136,-0.38
9,0.04,7500000,-0.136,-0.38
10,0.03,50000,-0.15,-0.46
11,0.03,100000,-0.15,-0.46
12,0.03,250000,-0.15,-0.46
13,0.03,500000,-0.15,-0.46
14,0.03,750000,-0.15,-0.46
15,0.03,1000000,-0.15,-0.46
16,0.03,1500000,-0.15,-0.46
17,0.03,2500000,-0.15,-0.46
18,0.03,5000000,-0.15,-0.46
19,0.03,7500000,-0.15,-0.46
20,0.02,50000,-0.1276,-0.45
21,0.02,100000,-0.1276,-0.45
22,0.02,250000,-0.1276,-0.45
23,0.02,500000,-0.1276,-0.45
24,0.02,750000,-0.1276,-0.45
25,0.02,1000000,-0.1276,-0.45
26,0.02,1500000,-0.1276,-0.45
27,0.02,2500000,-0.1276,-0.45
28,0.02,5000000,-0.1276,-0.45
29,0.02,7500000,-0.1276,-0.45
30,0.01,50000,-0.0828,-0.34
31,0.01,100000,-0.0828,-0.34
32,0.01,250000,-0.0828,-0.34
33,0.01,500000,-0.0828,-0.34
34,0.01,750000,-0.0828,-0.34
35,0.01,1000000,-0.0828,-0.34
36,0.01,1500000,-0.0828,-0.34
37,0.01,2500000,-0.0828,-0.34
38,0.01,5000000,-0.0828,-0.34
39,0.01,7500000,-0.0828,-0.34
