,threshold,volume_invest,return,sharpe-ratio
0,0.04,50000,0.0409,0.12
1,0.04,100000,0.0728,0.21
2,0.04,250000,0.0455,0.13
3,0.04,500000,0.0389,0.11
4,0.04,750000,0.0437,0.13
5,0.04,1000000,0.0439,0.13
6,0.04,1500000,0.0401,0.12
7,0.04,2500000,0.043,0.12
8,0.04,5000000,0.0399,0.12
9,0.04,7500000,0.0389,0.11
10,0.03,50000,0.0814,0.24
11,0.03,100000,0.0994,0.3
12,0.03,250000,0.0925,0.28
13,0.03,500000,0.092,0.28
14,0.03,750000,0.0948,0.29
15,0.03,1000000,0.0935,0.28
16,0.03,1500000,0.0937,0.28
17,0.03,2500000,0.0936,0.28
18,0.03,5000000,0.0938,0.28
19,0.03,7500000,0.094,0.28
20,0.02,50000,0.1879,0.59
21,0.02,100000,0.1595,0.5
22,0.02,250000,0.171,0.54
23,0.02,500000,0.1718,0.54
24,0.02,750000,0.1706,0.54
25,0.02,1000000,0.1691,0.53
26,0.02,1500000,0.1709,0.54
27,0.02,2500000,0.1708,0.54
28,0.02,5000000,0.1697,0.54
29,0.02,7500000,0.17,0.54
30,0.01,50000,0.2164,0.7
31,0.01,100000,0.2359,0.76
32,0.01,250000,0.2627,0.85
33,0.01,500000,0.2525,0.82
34,0.01,750000,0.2461,0.8
35,0.01,1000000,0.2514,0.81
36,0.01,1500000,0.2521,0.82
37,0.01,2500000,0.2506,0.81
38,0.01,5000000,0.2507,0.81
39,0.01,7500000,0.2512,0.81
